delayed,J6V123,775373,748911,11111.11,996239,813,20240921060220
delayed,S772B123,670884,694832,8765.44,722405,886,20241117101922
delayed,L123AAS,169542,593283,765.253,845649,196,20240909094813
back-ordered,J9876543,384665,322081,100.0,994733,902,20250120200419
pending,J955AAS,616503,320215,44441.22,933578,531,20240817022659
back-ordered,K555H99,531348,698630,999.99,357932,215,20240812091127
delayed,L123AAS,931196,668254,765.253,254402,688,20250227230935
pending,K555H99,777750,784024,999.99,146986,268,20240808152635
delayed,S772B123,974441,973464,8765.44,35458,204,20240717131559
delayed,J77442211,325689,562592,555.55,643231,192,20250211084113
shipped,J77442211,347101,108795,555.55,271471,735,20241203215913
delayed,J9876543,760173,388134,100.0,37337,226,20241025044425
back-ordered,J77442211,448948,618565,555.55,462934,59,20240520021015
delayed,L123AAS,555903,947538,765.253,496747,903,20240519151850
pending,J9876543,188421,343270,100.0,859214,827,20250409045445
delayed,J6V123,128118,159928,11111.11,127292,497,20240813073057
pending,K555H99,732365,130550,999.99,19355,268,20250324124941
shipped,L123AAS,610884,82584,765.253,566666,897,20241004074438
shipped,S772B123,713734,45248,8765.44,271535,378,20241009001815
pending,L123AAS,529274,598175,765.253,417770,241,20240612200748
shipped,G873VWED9,323464,591806,99.999,597433,364,20250219090134
pending,J9876543,836333,93224,100.0,256075,893,20250310033547
back-ordered,J955AAS,566279,436155,44441.22,904446,791,20240612140226
shipped,L123AAS,306122,74246,765.253,252813,475,20241015150307
back-ordered,L123AAS,374216,520377,765.253,494296,425,20241206080140
pending,G873VWED9,785103,229962,99.999,668658,91,20250124171350
back-ordered,J1234,346341,550250,123.45,548502,870,20250224015858
back-ordered,J6V123,34907,383608,11111.11,236146,332,20240713073842
delayed,L123AAS,559221,119146,765.253,459601,870,20250312060734
shipped,J6V123,511190,220469,11111.11,444157,884,20250321144950
delayed,L123AAS,313928,778665,765.253,932483,629,20250227151045
back-ordered,L123AAS,44322,143609,765.253,377241,251,20240531094748
back-ordered,J77442211,319380,234920,555.55,755096,322,20240826005823
shipped,K555H99,141071,556407,999.99,36201,347,20241203152127
shipped,J1234,988812,17292,123.45,702440,367,20250309230215
shipped,J9876543,740649,477208,100.0,737436,980,20241018213842
back-ordered,J6V123,789797,704839,11111.11,355116,893,20250227130819
shipped,J77442211,658095,638528,555.55,700150,98,20240826032007
back-ordered,G873VWED9,640285,688180,99.999,579880,310,20250301235538
shipped,K555H99,909373,883316,999.99,395818,960,20240905050033
shipped,J6V123,156973,617275,11111.11,692293,747,20250109144912
pending,J77442211,649450,306411,555.55,997490,794,20240510050453
pending,J9876543,322486,296692,100.0,438821,683,20241105022009
back-ordered,J955AAS,100351,251524,44441.22,274987,982,20241120062628
delayed,L123AAS,154076,247360,765.253,712661,78,20240710132528
delayed,J955AAS,616336,830659,44441.22,460055,168,20240904001322
back-ordered,J1234,695365,496135,123.45,934881,152,20240613071352
pending,L123AAS,171027,897594,765.253,509069,726,20250330134245
shipped,J1234,666147,311632,123.45,367971,86,20240613235800
delayed,G873VWED9,882118,871567,99.999,120553,135,20250222210254
delayed,G873VWED9,992555,856567,99.999,15324,101,20250214145824
shipped,K555H99,988812,271014,999.99,573852,494,20241218053236
delayed,J6V123,847478,908876,11111.11,785361,838,20241009092609
delayed,J6V123,643060,33740,11111.11,248982,712,20240718090306
delayed,G873VWED9,312416,788253,99.999,212172,731,20241225231511
pending,J9876543,926604,874310,100.0,354308,888,20250221123318
delayed,J955AAS,910061,559125,44441.22,907243,82,20250203114200
back-ordered,G873VWED9,851229,467491,99.999,223624,783,20250225030907
pending,J77442211,632917,164110,555.55,642292,669,20241106123829
shipped,G873VWED9,37900,729283,99.999,244452,451,20250206195820
shipped,L123AAS,722927,345709,765.253,91910,258,20250106215449
shipped,G873VWED9,346969,374679,99.999,76325,438,20241114104931
delayed,J9876543,887938,917247,100.0,411309,489,20240606131653
pending,L123AAS,628269,152230,765.253,318142,371,20241016113506
back-ordered,L123AAS,679791,112969,765.253,292836,801,20250414083632
back-ordered,J6V123,824280,648898,11111.11,490504,904,20240828003443
shipped,S772B123,377847,17292,8765.44,80347,385,20240528213455
delayed,J955AAS,499137,327170,44441.22,632207,761,20240714010212
shipped,L123AAS,346341,186048,765.253,961965,279,20240713162654
shipped,L123AAS,146292,861664,765.253,990115,112,20250324103429
shipped,S772B123,943527,667724,8765.44,260061,511,20250109114400
pending,J9876543,700522,839564,100.0,702325,250,20250331102737
delayed,L123AAS,608875,348534,765.253,697840,814,20241020191726
pending,J955AAS,106427,924854,44441.22,439016,166,20241018113339
back-ordered,K555H99,11890,799373,999.99,888657,428,20240509124529
shipped,J77442211,439192,779931,555.55,54635,595,20240817115718
shipped,J77442211,173331,600040,555.55,957362,508,20250128004740
shipped,J77442211,280709,797603,555.55,397070,686,20241019182816
shipped,J1234,339595,295547,123.45,245432,821,20240630005210
shipped,J9876543,868390,570559,100.0,993983,749,20241107101500
delayed,S772B123,296928,228522,8765.44,19764,724,20250113071727
shipped,K555H99,988812,66237,999.99,636147,111,20240718092309
back-ordered,G873VWED9,717268,240367,99.999,627771,999,20240819222520
back-ordered,J1234,764422,579513,123.45,328568,926,20241007101711
